season,convert,convert_prior_gp,convert_survived,comparator_key,comparator_team,pos,age,age_gap,comparator_prior_gp,gp_gap,one_year_state,survived
2018-19,Luca Sbisa,30,no,witkowski l,DET,D,28,0,31,1,moved,yes
2018-19,Luca Sbisa,30,no,kempny m,WSH,D,28,0,31,1,same_team,yes
2018-19,Luca Sbisa,30,no,bitetto a,NSH,D,28,0,32,2,moved,yes
2018-19,Alex Chiasson,61,yes,kane e,SJS,L,27,0,61,0,same_team,yes
2018-19,Alex Chiasson,61,yes,tanev b,WPG,L,27,0,61,0,moved,yes
2018-19,Alex Chiasson,61,yes,sutter b,VAN,C,29,2,61,0,same_team,yes
2018-19,Drew Stafford,59,no,grabner m,ARI,L,31,1,59,0,same_team,yes
2018-19,Drew Stafford,59,no,gibbons b,ANA,C,30,2,59,0,moved,yes
2018-19,Drew Stafford,59,no,reaves r,VGK,R,31,1,58,1,same_team,yes
2019-20,Ben Hutton,69,yes,benning m,EDM,D,25,1,70,1,moved,yes
2019-20,Ben Hutton,69,yes,pysyk m,FLA,D,27,1,70,1,moved,yes
2019-20,Ben Hutton,69,yes,zadorov n,COL,D,24,2,70,1,moved,yes
2019-20,Scott Sabourin,0,no,jurco t,EDM,R,27,0,0,0,out,no
2019-20,Scott Sabourin,0,no,haas g,EDM,C,27,0,0,0,out,no
2019-20,Scott Sabourin,0,no,mayhew g,MIN,C,27,0,0,0,same_team,yes
2019-20,Tobias Rieder,67,yes,mantha a,DET,R,25,1,67,0,same_team,yes
2019-20,Tobias Rieder,67,yes,dickinson j,DAL,C,24,2,67,0,same_team,yes
2019-20,Tobias Rieder,67,yes,archibald j,EDM,R,27,1,68,1,same_team,yes
2019-20,Micheal Haley,0,yes,perry c,DAL,R,34,1,0,0,moved,yes
2019-20,Micheal Haley,0,yes,stewart c,PHI,R,32,1,0,0,out,no
2019-20,Micheal Haley,0,yes,letestu m,WPG,C,34,1,0,0,out,no
2020-21,Riley Sheahan,66,yes,acciari n,FLA,C,29,0,66,0,out,no
2020-21,Riley Sheahan,66,yes,duchene m,NSH,C,29,0,66,0,same_team,yes
2020-21,Riley Sheahan,66,yes,hathaway g,WSH,R,29,0,66,0,same_team,yes
2020-21,Michael Del Zotto,49,yes,ellis r,NSH,D,29,1,49,0,moved,yes
2020-21,Michael Del Zotto,49,yes,van riemsdyk t,WSH,D,29,1,49,0,same_team,yes
